algorithm,scenario_name,num_cloudlets,seed,phi_fraction,rho_tightness,makespan_sec,total_energy_j,deadline_miss_rate,avg_tardiness_sec
DCOA-TS,Scenario_50,50,1001,0.3,2.0,8.2788,1243.8207,1.0000,2.2559
DCOA-TS,Scenario_50,50,1002,0.3,2.0,9.2823,1394.0679,1.0000,2.9819
I-COA,Scenario_2000,2000,1004,0.6,1.2,1009.0943,151371.2471,1.0000,136.3466
DCOA-TS,Scenario_50,50,1003,0.3,2.0,8.6594,1301.5146,1.0000,2.1765
DGWO,Scenario_1000,1000,1003,0.3,2.0,772.3414,115859.3100,1.0000,32.2877
DGWO,Scenario_5000,5000,1003,0.6,1.5,1673.8300,251085.8993,1.0000,275.8129
DQN,Scenario_50,50,1003,0.6,1.5,24.9055,3739.1197,1.0000,4.0201
I-COA,Scenario_1000,1000,1004,0.3,1.2,555.5386,83339.1271,1.0000,54.5554
DQN,Scenario_50,50,1004,0.6,2.0,19.6786,2954.7744,1.0000,4.2979
I-COA,Scenario_1000,1000,1004,0.3,1.5,555.5386,83339.1271,1.0000,54.2062
I-COA,Scenario_50,50,1001,0.6,1.5,27.6297,4149.9660,1.0000,2.7160
I-COA,Scenario_50,50,1002,0.6,1.5,21.7257,3262.2041,1.0000,2.5697
I-COA,Scenario_50,50,1003,0.6,1.5,25.2725,3794.9296,1.0000,1.7355
DGWO,Scenario_2000,2000,1004,0.3,1.2,1388.1871,208237.8732,1.0000,78.7148
I-COA,Scenario_50,50,1004,0.6,1.5,22.5195,3382.3109,1.0000,2.4658
DCOA-TS,Scenario_50,50,1000,0.6,2.0,10.5270,1580.2992,1.0000,4.0042
DCOA-TS,Scenario_50,50,1001,0.6,2.0,14.7677,2217.0518,1.0000,5.5930
DCOA-TS,Scenario_50,50,1002,0.6,2.0,11.8703,1782.0894,1.0000,4.1095
DQN,Scenario_50,50,1004,0.6,1.2,19.6329,2948.8331,1.0000,4.2701
FCFS,Scenario_50,50,1000,0.6,1.2,67.3257,10104.1122,1.0000,9.5200
DBDE,Scenario_1000,1000,1003,0.3,2.0,803.1043,120472.4136,1.0000,18.6074
DCOA-TS,Scenario_2000,2000,1000,0.6,1.5,231.8754,34790.8586,1.0000,97.1459
DBDE,Scenario_50,50,1001,0.3,2.0,10.8648,1632.2486,1.0000,1.0955
DBDE,Scenario_50,50,1002,0.3,2.0,17.2641,2593.1476,1.0000,1.1448
DBDE,Scenario_50,50,1003,0.3,2.0,10.5406,1583.7266,1.0000,0.9271
DBDE,Scenario_50,50,1004,0.3,2.0,16.9147,2539.6336,1.0000,1.2359
I-COA,Scenario_50,50,1000,0.3,2.0,13.5342,2033.2576,1.0000,1.2159
DQN,Scenario_100,100,1004,0.3,1.5,24.0291,3607.5042,1.0000,7.7994
FCFS,Scenario_100,100,1000,0.3,1.5,103.4914,15529.9205,1.0000,16.9777
DCOA-TS,Scenario_1000,1000,1000,0.3,1.5,115.9074,17391.6339,1.0000,50.2941
FCFS,Scenario_100,100,1001,0.3,1.5,103.4914,15529.9205,1.0000,6.9870
FCFS,Scenario_100,100,1002,0.3,1.5,103.4914,15529.9205,1.0000,13.2562
I-COA,Scenario_50,50,1001,0.3,2.0,15.9526,2396.0628,1.0000,2.3956
FCFS,Scenario_100,100,1003,0.3,1.5,103.4914,15529.9205,1.0000,9.9083
I-COA,Scenario_50,50,1002,0.3,2.0,18.1838,2732.0177,1.0000,1.6180
DQN,Scenario_100,100,1001,0.3,1.5,26.1214,3921.8152,1.0000,5.3879
DWOA,Scenario_50,50,1000,0.3,2.0,14.5927,2191.1523,1.0000,0.8625
DWOA,Scenario_50,50,1001,0.3,2.0,13.3580,2005.7344,1.0000,1.2092
DWOA,Scenario_50,50,1002,0.3,2.0,18.5594,2786.3436,1.0000,1.2301
DWOA,Scenario_50,50,1003,0.3,2.0,12.9001,1936.4422,1.0000,1.1561
DWOA,Scenario_50,50,1004,0.3,2.0,14.1215,2120.5476,1.0000,1.1965
DBDE,Scenario_50,50,1000,0.3,2.0,17.9132,2689.8540,1.0000,0.8130
DQN,Scenario_50,50,1004,0.3,1.5,19.6425,2950.0583,1.0000,4.4347
FCFS,Scenario_50,50,1000,0.3,1.5,67.3257,10104.1122,1.0000,10.2922
FCFS,Scenario_50,50,1001,0.3,1.5,67.3257,10104.1122,1.0000,4.6826
DQN,Scenario_100,100,1003,0.6,2.0,43.2857,6497.2417,1.0000,6.1147
DBDE,Scenario_1000,1000,1004,0.3,2.0,922.8829,138440.0180,1.0000,19.4182
DCOA-TS,Scenario_2000,2000,1001,0.6,1.5,211.2650,31696.9585,1.0000,96.2188
DWOA,Scenario_1000,1000,1002,0.3,1.5,693.3729,104013.4261,1.0000,37.0583
GO,Scenario_1000,1000,1001,0.3,1.2,623.5257,93536.3735,1.0000,47.1979
DQN,Scenario_100,100,1002,0.3,1.2,88.8371,13329.9256,1.0000,8.4654
DCOA-TS,Scenario_2000,2000,1002,0.6,1.5,216.6489,32503.5480,1.0000,95.3672
I-COA,Scenario_1000,1000,1000,0.3,2.0,650.8543,97635.6200,1.0000,58.2699
DQN,Scenario_50,50,1004,0.6,1.5,25.0870,3766.1715,1.0000,6.7478
DWOA,Scenario_1000,1000,1003,0.3,1.5,792.4029,118869.1175,1.0000,35.9626
DCOA-TS,Scenario_2000,2000,1003,0.6,1.5,230.5331,34585.5435,1.0000,98.0825
I-COA,Scenario_500,500,1001,0.6,1.2,187.3591,28109.7933,1.0000,29.5145
DBDE,Scenario_5000,5000,1000,0.6,2.0,1469.6786,220466.0369,1.0000,222.3781
I-COA,Scenario_1000,1000,1001,0.3,2.0,485.5629,72841.5096,1.0000,56.3960
I-COA,Scenario_500,500,1002,0.6,1.2,152.4327,22870.2942,1.0000,28.9346
GO,Scenario_2000,2000,1000,0.3,1.2,988.6957,148311.2141,1.0000,112.7330
DCOA-TS,Scenario_2000,2000,1004,0.6,1.5,225.5509,33839.5657,1.0000,97.3183
DWOA,Scenario_1000,1000,1004,0.3,1.5,529.0343,79362.1353,1.0000,33.9794
GO,Scenario_1000,1000,1002,0.3,1.2,497.0043,74557.7331,1.0000,50.4078
I-COA,Scenario_500,500,1003,0.6,1.2,188.7827,28322.6391,1.0000,29.5714
I-COA,Scenario_1000,1000,1002,0.3,2.0,529.8686,79488.3317,1.0000,57.2366
I-COA,Scenario_500,500,1004,0.6,1.2,192.3786,28862.3900,1.0000,28.1693
DBDE,Scenario_1000,1000,1000,0.3,1.5,863.1229,129475.9995,1.0000,19.2486
DCOA-TS,Scenario_500,500,1000,0.6,1.5,75.1069,11269.7269,1.0000,28.2658
DCOA-TS,Scenario_500,500,1001,0.6,1.5,77.1949,11582.8329,1.0000,28.1582
GO,Scenario_1000,1000,1003,0.3,1.2,628.8114,94330.8290,1.0000,49.3564
DCOA-TS,Scenario_500,500,1002,0.6,1.5,69.6260,10447.5675,1.0000,28.2667
DQN,Scenario_100,100,1004,0.6,1.2,32.0164,4806.2410,1.0000,7.5279
FCFS,Scenario_100,100,1000,0.6,1.2,103.4914,15529.9205,1.0000,13.0903
FCFS,Scenario_100,100,1001,0.6,1.2,103.4914,15529.9205,1.0000,12.8867
FCFS,Scenario_100,100,1002,0.6,1.2,103.4914,15529.9205,1.0000,13.1540
DQN,Scenario_100,100,1002,0.3,1.5,89.0714,13364.9973,1.0000,9.0718
DBDE,Scenario_1000,1000,1001,0.3,1.5,922.1029,138323.3449,1.0000,19.1315
DGWO,Scenario_5000,5000,1000,0.6,1.5,1831.1943,274690.5554,1.0000,276.0301
I-COA,Scenario_1000,1000,1003,0.3,2.0,522.8514,78434.8880,1.0000,57.8309
DBDE,Scenario_500,500,1000,0.6,1.2,380.6300,57102.7505,1.0000,15.3061
I-COA,Scenario_5000,5000,1004,0.6,1.5,2799.0457,419865.1117,1.0000,369.9438
DGWO,Scenario_5000,5000,1004,0.6,1.5,1946.1871,291938.1280,1.0000,271.2023
DBDE,Scenario_500,500,1001,0.6,1.2,292.9314,43946.4015,1.0000,16.5861
DQN,Scenario_100,100,1004,0.6,2.0,28.7556,4317.4098,1.0000,6.3138
FCFS,Scenario_100,100,1000,0.6,2.0,103.4914,15529.9205,1.0000,12.1893
FCFS,Scenario_100,100,1001,0.6,2.0,103.4914,15529.9205,1.0000,12.0148
GO,Scenario_1000,1000,1004,0.3,1.2,546.6157,81999.7900,1.0000,46.1267
DBDE,Scenario_1000,1000,1002,0.3,1.5,670.8114,100627.5241,1.0000,21.4782
DQN,Scenario_100,100,1003,0.3,1.2,20.0898,3017.3647,1.0000,6.1573
FCFS,Scenario_1000,1000,1001,0.6,2.0,816.6371,122502.7947,1.0000,98.3397
FCFS,Scenario_1000,1000,1002,0.6,2.0,816.6371,122502.7947,1.0000,101.1813
FCFS,Scenario_1000,1000,1003,0.6,2.0,816.6371,122502.7947,1.0000,95.1886
I-COA,Scenario_1000,1000,1004,0.3,2.0,555.5386,83339.1271,1.0000,53.6241
I-COA,Scenario_5000,5000,1001,0.6,2.0,20379.5906,3057007.3422,1.0000,422.1249
FCFS,Scenario_1000,1000,1004,0.6,2.0,816.6371,122502.7947,1.0000,91.7927
GO,Scenario_2000,2000,1001,0.3,1.2,1042.4814,156381.4249,1.0000,111.2156
DBDE,Scenario_500,500,1002,0.6,1.2,261.0386,39162.6902,1.0000,16.4145
DBDE,Scenario_1000,1000,1002,0.6,1.2,495.5771,74344.7511,1.0000,35.7387
DWOA,Scenario_1000,1000,1000,0.6,1.5,550.1471,82530.7570,1.0000,44.6187
DWOA,Scenario_1000,1000,1000,0.3,1.2,673.0886,100971.0164,1.0000,35.5484
DBDE,Scenario_500,500,1003,0.6,1.2,391.0771,58668.9663,1.0000,15.2917
DBDE,Scenario_5000,5000,1001,0.6,2.0,1601.6814,240268.3315,1.0000,226.1799
DBDE,Scenario_500,500,1004,0.6,1.2,269.8982,40491.0548,1.0000,15.7654
DGWO,Scenario_1000,1000,1000,0.6,2.0,654.3100,98156.8928,1.0000,42.2270
DBDE,Scenario_1000,1000,1003,0.6,1.2,20348.9600,3052557.9026,1.0000,34.2224
DWOA,Scenario_1000,1000,1001,0.3,2.0,647.6543,97156.3663,1.0000,34.3073
I-COA,Scenario_500,500,1000,0.6,1.2,175.5277,26334.8615,1.0000,29.0306
DWOA,Scenario_1000,1000,1001,0.3,1.2,634.5571,95191.2486,1.0000,35.2238
DWOA,Scenario_1000,1000,1001,0.6,1.5,304.8614,45736.2741,1.0000,44.4790
DBDE,Scenario_1000,1000,1004,0.6,1.2,601.0843,90171.0308,1.0000,35.5104
DGWO,Scenario_1000,1000,1001,0.6,2.0,610.3957,91569.2367,1.0000,42.6369
DWOA,Scenario_1000,1000,1002,0.3,2.0,701.3157,105205.4833,1.0000,36.5532
DCOA-TS,Scenario_5000,5000,1000,0.6,2.0,514.5497,77204.3645,1.0000,233.1413
DWOA,Scenario_1000,1000,1002,0.3,1.2,693.3729,104013.4261,1.0000,37.3943
DWOA,Scenario_1000,1000,1002,0.6,1.5,443.3757,66514.2440,1.0000,45.8098
I-COA,Scenario_1000,1000,1000,0.6,1.2,372.0414,55811.6288,1.0000,64.8201
GO,Scenario_2000,2000,1002,0.3,1.2,1148.3957,172265.9539,1.0000,114.6273
DGWO,Scenario_1000,1000,1002,0.6,2.0,574.2214,86141.8406,1.0000,43.3753
DWOA,Scenario_1000,1000,1003,0.3,2.0,792.4029,118869.1175,1.0000,35.3892
DQN,Scenario_100,100,1001,0.6,1.5,26.1364,3923.6342,1.0000,6.5607
DGWO,Scenario_1000,1000,1000,0.3,1.2,615.2100,92288.8916,1.0000,33.7715
GO,Scenario_5000,5000,1003,0.6,2.0,2255.1014,338276.6585,1.0000,343.9573
DWOA,Scenario_1000,1000,1003,0.6,1.5,484.8543,72736.1034,1.0000,45.4233
I-COA,Scenario_1000,1000,1001,0.6,1.2,571.8129,85779.5244,1.0000,61.3336
DGWO,Scenario_1000,1000,1003,0.6,2.0,648.0671,97218.5431,1.0000,42.9569
DWOA,Scenario_1000,1000,1004,0.3,2.0,632.9814,94954.9733,1.0000,33.4397
DGWO,Scenario_5000,5000,1001,0.6,1.5,1963.0143,294465.1921,1.0000,273.8000
DWOA,Scenario_1000,1000,1004,0.6,1.5,392.3700,58864.8112,1.0000,45.1147
DQN,Scenario_500,500,1004,0.6,1.2,160.4071,24066.9978,1.0000,29.8636
FCFS,Scenario_500,500,1000,0.6,1.2,423.2643,63496.0739,1.0000,48.4995
FCFS,Scenario_500,500,1001,0.6,1.2,423.2643,63496.0739,1.0000,51.6348
FCFS,Scenario_500,500,1002,0.6,1.2,423.2643,63496.0739,1.0000,49.8853
FCFS,Scenario_500,500,1003,0.6,1.2,423.2643,63496.0739,1.0000,50.4814
FCFS,Scenario_500,500,1004,0.6,1.2,423.2643,63496.0739,1.0000,47.2953
DBDE,Scenario_5000,5000,1002,0.6,2.0,1489.3986,223426.9017,1.0000,224.1834
DBDE,Scenario_1000,1000,1000,0.3,2.0,905.7586,135872.2244,1.0000,19.0407
DGWO,Scenario_1000,1000,1001,0.3,1.2,887.8400,133185.6811,1.0000,34.5922
DGWO,Scenario_1000,1000,1004,0.6,2.0,532.0771,79820.1134,1.0000,43.2055
DGWO,Scenario_500,500,1000,0.6,1.2,408.6657,61308.7272,1.0000,18.4817
DBDE,Scenario_1000,1000,1000,0.6,1.5,816.2314,122444.0132,1.0000,34.1353
I-COA,Scenario_1000,1000,1002,0.6,1.2,459.0457,68863.6706,1.0000,63.0400
DQN,Scenario_500,500,1000,0.3,1.2,159.3086,23900.8818,1.0000,33.7237
I-COA,Scenario_5000,5000,1002,0.6,2.0,2832.0243,424816.4524,1.0000,377.4102
DBDE,Scenario_1000,1000,1001,0.3,2.0,802.3243,120355.9656,1.0000,19.0658
GO,Scenario_2000,2000,1003,0.3,1.2,953.5529,143040.4292,1.0000,112.6878
DQN,Scenario_500,500,1000,0.6,1.5,158.9957,23853.5162,1.0000,31.3772
FCFS,Scenario_2000,2000,1001,0.3,1.2,1598.4400,239774.0479,1.0000,189.7847
DGWO,Scenario_1000,1000,1002,0.3,1.2,848.3243,127256.8077,1.0000,35.4160
DBDE,Scenario_1000,1000,1001,0.6,1.5,504.4029,75667.8342,1.0000,35.0998
FCFS,Scenario_2000,2000,1002,0.3,1.2,1598.4400,239774.0479,1.0000,204.0120
GO,Scenario_1000,1000,1000,0.6,2.0,375.6473,56353.3810,1.0000,55.6061
FCFS,Scenario_2000,2000,1003,0.3,1.2,1598.4400,239774.0479,1.0000,192.4806
I-COA,Scenario_1000,1000,1003,0.6,1.2,349.4282,52419.7975,1.0000,63.4232
DBDE,Scenario_1000,1000,1002,0.3,2.0,786.8186,118030.2499,1.0000,20.6849
DCOA-TS,Scenario_5000,5000,1001,0.6,2.0,517.9231,77704.0875,1.0000,234.8000
FCFS,Scenario_2000,2000,1004,0.3,1.2,1598.4400,239774.0479,1.0000,198.5123
DBDE,Scenario_1000,1000,1002,0.6,1.5,443.1614,66481.3993,1.0000,35.6507
DWOA,Scenario_2000,2000,1004,0.3,1.5,1368.1871,205237.7957,1.0000,85.4001
DGWO,Scenario_1000,1000,1003,0.3,1.2,756.7314,113516.7889,1.0000,33.6398
GO,Scenario_1000,1000,1001,0.6,2.0,317.9086,47692.3715,1.0000,52.8899
DQN,Scenario_100,100,1002,0.6,1.5,89.0929,13368.9613,1.0000,9.8829
DWOA,Scenario_1000,1000,1001,0.6,1.2,304.8614,45736.2741,1.0000,44.8175
DBDE,Scenario_1000,1000,1003,0.6,1.5,589.0643,88367.1125,1.0000,33.4225
GO,Scenario_5000,5000,1000,0.6,1.5,2373.6114,356053.1351,1.0000,341.7642
DGWO,Scenario_1000,1000,1004,0.3,1.2,806.1857,120937.9139,1.0000,33.9912
GO,Scenario_1000,1000,1002,0.6,2.0,501.7257,75265.6197,1.0000,56.0159
DGWO,Scenario_2000,2000,1000,0.3,1.2,1264.6286,189704.1177,1.0000,84.4184
DBDE,Scenario_1000,1000,1004,0.6,1.5,634.2386,95143.2011,1.0000,35.2595
DQN,Scenario_500,500,1000,0.3,1.5,176.8664,26534.6566,1.0000,33.8037
DWOA,Scenario_1000,1000,1002,0.6,1.2,443.3757,66514.2440,1.0000,46.1505
DBDE,Scenario_5000,5000,1003,0.6,2.0,1517.7971,227686.9573,1.0000,225.1231
DBDE,Scenario_2000,2000,1000,0.3,1.5,1496.0571,224417.3815,1.0000,53.1029
GO,Scenario_1000,1000,1003,0.6,2.0,410.4857,61579.1222,1.0000,55.6703
DCOA-TS,Scenario_5000,5000,1002,0.6,2.0,517.4662,77629.4544,1.0000,234.5303
I-COA,Scenario_1000,1000,1000,0.6,1.5,372.0414,55811.6288,1.0000,64.4793
DWOA,Scenario_1000,1000,1003,0.6,1.2,484.8543,72736.1034,1.0000,45.7617
GO,Scenario_1000,1000,1000,0.3,1.2,509.0986,76370.5924,1.0000,48.3345
DGWO,Scenario_5000,5000,1002,0.6,1.5,1780.3957,267068.8358,1.0000,273.8981
DQN,Scenario_500,500,1000,0.3,2.0,176.4500,26473.8544,1.0000,28.9933
DGWO,Scenario_2000,2000,1001,0.3,1.2,1333.1386,199979.1387,1.0000,83.4583
GO,Scenario_1000,1000,1004,0.6,2.0,324.3100,48652.0547,1.0000,54.4658
DBDE,Scenario_2000,2000,1001,0.3,1.5,1694.5343,254189.0711,1.0000,55.4692
DWOA,Scenario_1000,1000,1004,0.6,1.2,392.3700,58864.8112,1.0000,45.4558
DCOA-TS,Scenario_1000,1000,1004,0.6,2.0,113.6038,17044.9936,1.0000,48.9519
DQN,Scenario_500,500,1000,0.6,1.2,171.3543,25708.4168,1.0000,29.8943
DQN,Scenario_500,500,1003,0.6,2.0,220.6986,33110.6171,1.0000,31.5946
I-COA,Scenario_1000,1000,1001,0.6,1.5,571.8129,85779.5244,1.0000,60.9951
I-COA,Scenario_5000,5000,1003,0.6,2.0,2462.8486,369436.0931,1.0000,373.3079
DQN,Scenario_100,100,1003,0.6,1.5,43.3957,6514.1755,1.0000,7.0851
DQN,Scenario_500,500,1000,0.6,2.0,151.6100,22747.3728,1.0000,30.2705
DBDE,Scenario_1000,1000,1000,0.6,1.2,683.9786,102605.8606,1.0000,34.5852
DBDE,Scenario_2000,2000,1000,0.3,1.2,1695.5771,254344.8310,1.0000,52.6794
GO,Scenario_5000,5000,1004,0.6,2.0,2609.4657,391431.7599,1.0000,342.2506
I-COA,Scenario_1000,1000,1002,0.6,1.5,459.0457,68863.6706,1.0000,62.6993
DBDE,Scenario_2000,2000,1002,0.3,1.5,1809.8829,271491.9338,1.0000,54.4205
DBDE,Scenario_1000,1000,1001,0.6,1.2,741.6929,111261.9688,1.0000,35.2383
DCOA-TS,Scenario_5000,5000,1003,0.6,2.0,540.0779,81024.6731,1.0000,235.7574
DGWO,Scenario_1000,1000,1003,0.6,1.5,562.2057,84338.2127,1.0000,42.9240
DBDE,Scenario_2000,2000,1001,0.3,1.2,1707.1200,256077.8651,1.0000,56.3768
DBDE,Scenario_2000,2000,1003,0.3,1.5,1287.8800,193191.2305,1.0000,55.7862
DBDE,Scenario_5000,5000,1004,0.6,2.0,1705.6943,255868.3593,1.0000,222.3724
DGWO,Scenario_1000,1000,1004,0.6,1.5,532.0771,79820.1134,1.0000,43.7740
DBDE,Scenario_2000,2000,1002,0.3,1.2,1572.1829,235836.2150,1.0000,55.6722
GO,Scenario_1000,1000,1000,0.6,1.5,375.6473,56353.3810,1.0000,56.1741
DBDE,Scenario_2000,2000,1004,0.3,1.5,1610.4514,241576.9188,1.0000,52.4968
DQN,Scenario_100,100,1004,0.6,1.5,31.9882,4802.4366,1.0000,6.8566
FCFS,Scenario_100,100,1000,0.6,1.5,103.4914,15529.9205,1.0000,12.7525
FCFS,Scenario_100,100,1001,0.6,1.5,103.4914,15529.9205,1.0000,12.5598
FCFS,Scenario_100,100,1002,0.6,1.5,103.4914,15529.9205,1.0000,12.8039
FCFS,Scenario_100,100,1003,0.6,1.5,103.4914,15529.9205,1.0000,9.1949
FCFS,Scenario_100,100,1004,0.6,1.5,103.4914,15529.9205,1.0000,11.3894
DGWO,Scenario_100,100,1000,0.6,1.5,40.0235,6008.2878,1.0000,3.3200
DGWO,Scenario_100,100,1001,0.6,1.5,30.9838,4652.3570,1.0000,3.5080
DGWO,Scenario_100,100,1002,0.6,1.5,22.4462,3371.2809,1.0000,3.3388
DGWO,Scenario_100,100,1003,0.6,1.5,27.8938,4188.4384,1.0000,3.2009
GO,Scenario_5000,5000,1001,0.6,1.5,2371.6357,355752.9351,1.0000,344.7573
DGWO,Scenario_100,100,1004,0.6,1.5,31.6093,4745.8929,1.0000,3.6005
I-COA,Scenario_100,100,1004,0.6,1.2,26.2645,3944.2043,1.0000,5.5678
DCOA-TS,Scenario_100,100,1000,0.6,1.5,18.3060,2747.6301,1.0000,7.7669
DCOA-TS,Scenario_100,100,1001,0.6,1.5,24.9744,3747.3485,1.0000,10.5565
I-COA,Scenario_5000,5000,1004,0.6,2.0,2799.0457,419865.1117,1.0000,369.3769
DCOA-TS,Scenario_100,100,1002,0.6,1.5,22.6301,3396.7267,1.0000,8.6996
DCOA-TS,Scenario_100,100,1003,0.6,1.5,21.0055,3152.2162,1.0000,9.0612
DCOA-TS,Scenario_100,100,1004,0.6,1.5,25.9926,3900.5121,1.0000,11.3294
DBDE,Scenario_2000,2000,1003,0.3,1.2,1386.3871,207967.1434,1.0000,57.0841
DBDE,Scenario_5000,5000,1001,0.6,1.5,1601.6814,240268.3315,1.0000,226.7455
GO,Scenario_1000,1000,1001,0.6,1.5,317.9086,47692.3715,1.0000,53.4541
I-COA,Scenario_2000,2000,1000,0.3,1.5,1039.7957,155976.3713,1.0000,131.3942
DWOA,Scenario_5000,5000,1000,0.6,2.0,1720.1029,258022.3199,1.0000,289.4780
GO,Scenario_1000,1000,1002,0.6,1.5,501.3157,75204.6227,1.0000,56.5870
GO,Scenario_5000,5000,1004,0.6,1.5,2609.4657,391431.7599,1.0000,342.8175
DBDE,Scenario_2000,2000,1004,0.3,1.2,1632.3957,244867.9857,1.0000,53.5670
GO,Scenario_1000,1000,1003,0.6,1.5,410.4857,61579.1222,1.0000,56.2343
I-COA,Scenario_5000,5000,1000,0.6,2.0,2825.9143,423899.7144,1.0000,377.3485
GO,Scenario_2000,2000,1003,0.3,1.5,953.5529,143040.4292,1.0000,112.3436
GO,Scenario_1000,1000,1004,0.6,1.5,324.3100,48652.0547,1.0000,55.0343
FCFS,Scenario_1000,1000,1002,0.6,1.5,816.6371,122502.7947,1.0000,101.7491
FCFS,Scenario_1000,1000,1003,0.6,1.5,816.6371,122502.7947,1.0000,95.7526
FCFS,Scenario_1000,1000,1004,0.6,1.5,816.6371,122502.7947,1.0000,92.3612
I-COA,Scenario_2000,2000,1000,0.3,1.2,1039.7957,155976.3713,1.0000,131.7390
DBDE,Scenario_5000,5000,1002,0.6,1.5,1504.5314,225693.9738,1.0000,224.7161
DQN,Scenario_100,100,1000,0.6,1.5,29.0186,4357.5380,1.0000,5.7551
DBDE,Scenario_100,100,1003,0.6,1.2,36.0786,5416.4916,1.0000,3.3851
DBDE,Scenario_100,100,1004,0.6,1.2,44.7956,6724.7689,1.0000,3.9905
DGWO,Scenario_1000,1000,1000,0.6,1.5,582.4429,87376.2030,1.0000,43.7196
I-COA,Scenario_100,100,1000,0.6,1.2,49.0900,7369.7173,1.0000,4.8974
I-COA,Scenario_100,100,1001,0.6,1.2,101.9500,15299.1592,1.0000,5.1334
I-COA,Scenario_100,100,1002,0.6,1.2,67.3957,10115.8619,1.0000,4.6916
I-COA,Scenario_100,100,1003,0.6,1.2,44.5186,6683.5539,1.0000,4.9281
DWOA,Scenario_100,100,1002,0.3,2.0,31.3610,4707.6526,1.0000,1.8995
DWOA,Scenario_100,100,1003,0.3,2.0,34.5836,5190.9420,1.0000,1.2562
DWOA,Scenario_100,100,1004,0.3,2.0,45.1230,6772.7224,1.0000,2.2727
DBDE,Scenario_100,100,1000,0.3,2.0,28.3024,4248.2385,1.0000,1.3751
DWOA,Scenario_5000,5000,1001,0.6,2.0,2088.4200,313275.0550,1.0000,294.4882
DBDE,Scenario_100,100,1001,0.3,2.0,27.6710,4153.6785,1.0000,1.3970
DBDE,Scenario_100,100,1002,0.3,2.0,33.0205,4957.1352,1.0000,1.8456
DBDE,Scenario_100,100,1003,0.3,2.0,31.6044,4743.7816,1.0000,1.5323
GO,Scenario_100,100,1001,0.3,2.0,37.2529,5592.4090,1.0000,1.9862
DGWO,Scenario_1000,1000,1001,0.6,1.5,452.4071,67869.9482,1.0000,42.7643
GO,Scenario_100,100,1002,0.3,2.0,54.0218,8108.7065,1.0000,2.8391
I-COA,Scenario_2000,2000,1001,0.3,1.2,975.9814,146405.1572,1.0000,130.2326
GO,Scenario_100,100,1003,0.3,2.0,30.4968,4578.2969,1.0000,1.9128
GO,Scenario_100,100,1004,0.3,2.0,89.8657,13486.4415,1.0000,2.8599
DWOA,Scenario_100,100,1000,0.3,2.0,26.7774,4019.8010,1.0000,1.5441
DWOA,Scenario_100,100,1001,0.3,2.0,35.0463,5260.9794,1.0000,1.4177
DCOA-TS,Scenario_100,100,1000,0.6,1.2,19.5438,2933.1166,1.0000,8.4918
DCOA-TS,Scenario_100,100,1001,0.6,1.2,22.9113,3437.9167,1.0000,10.1969
DCOA-TS,Scenario_100,100,1002,0.6,1.2,21.0858,3164.6968,1.0000,8.5479
DCOA-TS,Scenario_100,100,1003,0.6,1.2,22.5203,3379.9837,1.0000,10.5525
DCOA-TS,Scenario_100,100,1004,0.6,1.2,23.8009,3571.4273,1.0000,11.3654
DGWO,Scenario_1000,1000,1002,0.6,1.5,574.2214,86141.8406,1.0000,43.9431
DWOA,Scenario_5000,5000,1000,0.6,1.5,1720.1029,258022.3199,1.0000,290.0465
DQN,Scenario_500,500,1004,0.6,1.5,171.3086,25701.4620,1.0000,28.4828
FCFS,Scenario_500,500,1000,0.6,1.5,423.2643,63496.0739,1.0000,48.1562
FCFS,Scenario_500,500,1001,0.6,1.5,423.2643,63496.0739,1.0000,51.2956
GO,Scenario_2000,2000,1004,0.3,1.5,1011.3200,151706.5385,1.0000,105.3483
FCFS,Scenario_500,500,1002,0.6,1.5,423.2643,63496.0739,1.0000,49.5427
FCFS,Scenario_500,500,1003,0.6,1.5,423.2643,63496.0739,1.0000,50.1425
FCFS,Scenario_500,500,1004,0.6,1.5,423.2643,63496.0739,1.0000,46.9546
DGWO,Scenario_500,500,1000,0.6,1.5,435.4400,65324.4015,1.0000,18.3857
I-COA,Scenario_1000,1000,1003,0.6,2.0,349.4282,52419.7975,1.0000,62.5208
DBDE,Scenario_5000,5000,1003,0.6,1.5,1425.5057,213839.0150,1.0000,224.8154
I-COA,Scenario_1000,1000,1004,0.6,2.0,431.8329,64780.8552,1.0000,62.8445
GO,Scenario_5000,5000,1002,0.6,1.5,2539.6629,380961.1401,1.0000,345.3072
DWOA,Scenario_2000,2000,1000,0.3,1.5,1483.2314,222495.9681,1.0000,88.9937
GO,Scenario_2000,2000,1004,0.3,1.2,1011.3200,151706.5385,1.0000,105.6890
DCOA-TS,Scenario_2000,2000,1000,0.3,1.2,218.4177,32772.2208,1.0000,99.8130
DQN,Scenario_1000,1000,1000,0.3,2.0,368.8143,55330.0702,1.0000,61.5806
FCFS,Scenario_1000,1000,1003,0.6,1.2,816.6371,122502.7947,1.0000,96.0909
FCFS,Scenario_1000,1000,1004,0.6,1.2,816.6371,122502.7947,1.0000,92.7023
DCOA-TS,Scenario_2000,2000,1001,0.3,1.2,214.9956,32260.2417,1.0000,97.2395
DQN,Scenario_100,100,1000,0.6,1.2,29.0214,4357.6159,1.0000,6.2223
DWOA,Scenario_5000,5000,1002,0.6,2.0,2224.3157,333658.4505,1.0000,291.0351
