algorithm,scenario_name,num_cloudlets,seed,population,iterations,episodes,w_energy,w_makespan,w_violation,makespan_sec,makespan_ms,total_energy_j,avg_waiting_sec,avg_waiting_ms,finished_cloudlets,mapping_time_ms,peak_memory_mb,deadline_miss_rate,avg_tardiness_sec,unit_note
GO,Scenario_2000,2000,1028,200,100,0,0.20,0.70,0.10,791.8314,791831.4286,118781.7308,127.1703,127170.3207,2000,6523,0,1.0000,122.3035,ms and sec explicitly named
GO,Scenario_1000,1000,1027,200,100,0,0.20,0.70,0.10,388.1057,388105.7143,58222.8707,57.1825,57182.4882,1000,2307,2811,1.0000,56.4654,ms and sec explicitly named
DGWO,Scenario_1000,1000,1016,200,100,0,0.20,0.70,0.10,547.5800,547580.0000,82145.4940,61.8316,61831.6282,1000,2080,1498,1.0000,42.4344,ms and sec explicitly named
DGWO,Scenario_2000,2000,1014,200,100,0,0.20,0.70,0.10,699.3886,699388.5714,104916.5108,109.2717,109271.6964,2000,4578,0,1.0000,95.4151,ms and sec explicitly named
PSO-SA,Scenario_5000,5000,1007,200,100,0,0.20,0.70,0.10,3128.2500,3128250.0000,469249.0314,420.3512,420351.2292,5000,1552,0,1.0000,428.6119,ms and sec explicitly named
I-COA,Scenario_2000,2000,1006,200,100,0,0.20,0.70,0.10,1114.3414,1114341.4286,167159.1019,145.6498,145649.8435,2000,4318,4591,1.0000,138.7679,ms and sec explicitly named
DBDE,Scenario_2000,2000,1025,200,100,0,0.20,0.70,0.10,1105.6100,1105610.0000,165853.9307,118.4636,118463.6355,2000,2985,6150,1.0000,80.5476,ms and sec explicitly named
GO,Scenario_2000,2000,1014,200,100,0,0.20,0.70,0.10,864.7257,864725.7143,129715.7718,126.2455,126245.5334,2000,7184,3015,1.0000,119.4890,ms and sec explicitly named
I-COA,Scenario_1000,1000,1005,200,100,0,0.20,0.70,0.10,472.3400,472340.0000,70858.3041,64.6290,64629.0052,1000,1946,1657,1.0000,64.3022,ms and sec explicitly named
DGWO,Scenario_5000,5000,1007,200,100,0,0.20,0.70,0.10,1810.2157,1810215.7143,271543.6696,302.9752,302975.1545,5000,10674,4283,1.0000,276.4408,ms and sec explicitly named
I-COA,Scenario_1000,1000,1008,200,100,0,0.20,0.70,0.10,446.2014,446201.4286,66936.5382,63.7568,63756.8447,1000,3003,0,1.0000,61.6178,ms and sec explicitly named
DWOA,Scenario_2000,2000,1026,200,100,0,0.20,0.70,0.10,659.1086,659108.5714,98874.5052,110.5493,110549.2568,2000,3836,2410,1.0000,101.1645,ms and sec explicitly named
GO,Scenario_1000,1000,1028,200,100,0,0.20,0.70,0.10,376.4014,376401.4286,56466.3386,56.8131,56813.1240,1000,2086,2365,1.0000,54.3291,ms and sec explicitly named
DTSO-TS,Scenario_5000,5000,1008,200,100,0,0.20,0.70,0.10,1249.9009,1249900.9091,187494.6038,300.3145,300314.4577,5000,2087,2286,1.0000,302.3693,ms and sec explicitly named
DQN,Scenario_100,100,1016,0,0,200,0.20,0.70,0.10,31.3143,31314.2857,4701.0023,4.5718,4571.8274,100,10894,0,1.0000,6.9139,ms and sec explicitly named
I-COA,Scenario_2000,2000,1028,200,100,0,0.20,0.70,0.10,848.2157,848215.7143,127238.2520,140.1911,140191.1114,2000,4694,0,1.0000,136.9833,ms and sec explicitly named
I-COA,Scenario_1000,1000,1006,200,100,0,0.20,0.70,0.10,424.8086,424808.5714,63727.6770,64.4794,64479.3872,1000,1926,999,1.0000,64.9229,ms and sec explicitly named
PSO-SA,Scenario_5000,5000,1008,200,100,0,0.20,0.70,0.10,3175.9500,3175950.0000,476405.2417,417.2936,417293.6331,5000,1617,0,1.0000,426.3427,ms and sec explicitly named
DQN,Scenario_100,100,1007,0,0,200,0.20,0.70,0.10,40.1043,40104.2857,6019.5805,4.8697,4869.6559,100,9078,4268,1.0000,7.1121,ms and sec explicitly named
I-COA,Scenario_1000,1000,1009,200,100,0,0.20,0.70,0.10,399.3500,399350.0000,59908.7471,62.6812,62681.2080,1000,2094,1812,1.0000,63.6212,ms and sec explicitly named
DBDE,Scenario_2000,2000,1026,200,100,0,0.20,0.70,0.10,806.1614,806161.4286,120935.0109,113.9356,113935.5818,2000,3049,6536,1.0000,80.6861,ms and sec explicitly named
DGWO,Scenario_1000,1000,1017,200,100,0,0.20,0.70,0.10,360.5114,360511.4286,54083.1027,55.3469,55346.9003,1000,3612,1679,1.0000,42.9653,ms and sec explicitly named
GO,Scenario_1000,1000,1029,200,100,0,0.20,0.70,0.10,452.0514,452051.4286,67814.5707,60.1178,60117.8009,1000,2152,0,1.0000,53.5790,ms and sec explicitly named
DGWO,Scenario_2000,2000,1015,200,100,0,0.20,0.70,0.10,663.6100,663610.0000,99550.2180,108.7734,108773.3625,2000,4144,0,1.0000,97.0364,ms and sec explicitly named
GO,Scenario_2000,2000,1004,200,100,0,0.20,0.70,0.10,951.3600,951360.0000,142711.3683,131.5752,131575.2437,2000,7722,0,1.0000,118.8742,ms and sec explicitly named
DBDE,Scenario_1000,1000,1007,200,100,0,0.20,0.70,0.10,524.9657,524965.7143,78753.8737,67.0611,67061.1237,1000,1457,0,1.0000,35.1562,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1008,200,100,0,0.20,0.70,0.10,511.5006,511500.5714,76735.6476,231.7895,231789.5247,5000,5662,0,1.0000,235.9088,ms and sec explicitly named
DTSO-TS,Scenario_5000,5000,1028,200,100,0,0.20,0.70,0.10,1188.9800,1188980.0000,178357.5021,288.8941,288894.0917,5000,2016,0,1.0000,294.3894,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1004,200,100,0,0.20,0.70,0.10,214.2715,214271.4706,32148.0955,93.0527,93052.6723,2000,1633,0,1.0000,96.3324,ms and sec explicitly named
DWOA,Scenario_2000,2000,1027,200,100,0,0.20,0.70,0.10,790.7071,790707.1429,118612.9782,116.6274,116627.3846,2000,3866,2361,1.0000,97.2945,ms and sec explicitly named
I-COA,Scenario_1000,1000,1010,200,100,0,0.20,0.70,0.10,412.4500,412450.0000,61874.4652,62.0919,62091.8814,1000,2044,0,1.0000,63.2969,ms and sec explicitly named
DWOA,Scenario_1000,1000,1000,200,100,0,0.20,0.70,0.10,550.1471,550147.1429,82530.7570,58.6558,58655.7683,1000,1835,831,1.0000,44.6187,ms and sec explicitly named
I-COA,Scenario_2000,2000,1007,200,100,0,0.20,0.70,0.10,987.1486,987148.5714,148081.7711,141.0017,141001.7319,2000,5250,951,1.0000,134.3359,ms and sec explicitly named
DBDE,Scenario_5000,5000,1002,200,100,0,0.20,0.70,0.10,1504.5314,1504531.4286,225693.9738,252.6176,252617.5882,5000,9080,3596,1.0000,224.7161,ms and sec explicitly named
I-COA,Scenario_2000,2000,1029,200,100,0,0.20,0.70,0.10,916.3571,916357.1429,137460.5585,143.1794,143179.3887,2000,3943,3167,1.0000,140.6159,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1005,200,100,0,0.20,0.70,0.10,224.3689,224368.8571,33663.9086,92.1316,92131.6154,2000,1545,0,1.0000,97.5213,ms and sec explicitly named
GO,Scenario_1000,1000,1008,200,100,0,0.20,0.70,0.10,363.6100,363610.0000,54547.7621,60.4015,60401.5143,1000,2700,5469,1.0000,54.8739,ms and sec explicitly named
GO,Scenario_2000,2000,1029,200,100,0,0.20,0.70,0.10,842.7014,842701.4286,126412.1848,132.6523,132652.3310,2000,7258,3561,1.0000,127.5847,ms and sec explicitly named
DBDE,Scenario_2000,2000,1027,200,100,0,0.20,0.70,0.10,966.6814,966681.4286,145010.4584,122.9179,122917.8974,2000,3018,7213,1.0000,77.5473,ms and sec explicitly named
DBDE,Scenario_1000,1000,1008,200,100,0,0.20,0.70,0.10,669.5629,669562.8571,100443.8439,71.9939,71993.9476,1000,2244,3402,1.0000,34.0738,ms and sec explicitly named
DQN,Scenario_100,100,1026,0,0,200,0.20,0.70,0.10,39.9729,39972.8571,5999.2927,5.2914,5291.4180,100,11609,250,1.0000,7.9613,ms and sec explicitly named
DWOA,Scenario_1000,1000,1001,200,100,0,0.20,0.70,0.10,304.8614,304861.4286,45736.2741,51.2151,51215.1212,1000,1873,1579,1.0000,44.4790,ms and sec explicitly named
GO,Scenario_2000,2000,1015,200,100,0,0.20,0.70,0.10,833.5829,833582.8571,125044.1597,128.0698,128069.7507,2000,7103,2495,1.0000,125.5800,ms and sec explicitly named
DTSO-TS,Scenario_5000,5000,1029,200,100,0,0.20,0.70,0.10,1293.5882,1293588.1818,194045.1269,296.1195,296119.4596,5000,2021,0,1.0000,301.8511,ms and sec explicitly named
FCFS,Scenario_5000,5000,1000,0,0,0,0.20,0.70,0.10,3892.6514,3892651.4286,583911.7217,468.3739,468373.9454,5000,1,16,1.0000,466.5149,ms and sec explicitly named
DGWO,Scenario_5000,5000,1021,200,100,0,0.20,0.70,0.10,1751.6014,1751601.4286,262750.3181,297.8024,297802.3796,5000,12611,0,1.0000,274.4143,ms and sec explicitly named
DGWO,Scenario_2000,2000,1016,200,100,0,0.20,0.70,0.10,810.9686,810968.5714,121654.5044,111.7657,111765.6760,2000,3918,4010,1.0000,96.4967,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1006,200,100,0,0.20,0.70,0.10,208.2072,208207.1513,31238.8116,91.5552,91555.2168,2000,2004,0,1.0000,95.1451,ms and sec explicitly named
DBDE,Scenario_1000,1000,1009,200,100,0,0.20,0.70,0.10,614.8386,614838.5714,92233.6394,74.6011,74601.1336,1000,1753,603,1.0000,33.3769,ms and sec explicitly named
I-COA,Scenario_1000,1000,1011,200,100,0,0.20,0.70,0.10,461.5900,461590.0000,69245.2927,66.2222,66222.2179,1000,3434,1181,1.0000,61.6952,ms and sec explicitly named
GO,Scenario_1000,1000,1009,200,100,0,0.20,0.70,0.10,390.8200,390820.0000,58628.8883,57.4861,57486.1328,1000,2990,0,1.0000,55.6929,ms and sec explicitly named
DWOA,Scenario_1000,1000,1002,200,100,0,0.20,0.70,0.10,443.3757,443375.7143,66514.2440,55.1423,55142.3114,1000,1883,374,1.0000,45.8098,ms and sec explicitly named
DWOA,Scenario_2000,2000,1028,200,100,0,0.20,0.70,0.10,668.3957,668395.7143,100267.0389,111.4928,111492.7890,2000,4466,5923,1.0000,100.4775,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1007,200,100,0,0.20,0.70,0.10,214.0457,214045.7240,32116.2377,91.6950,91694.9877,2000,1492,6546,1.0000,94.8719,ms and sec explicitly named
DWOA,Scenario_1000,1000,1027,200,100,0,0.20,0.70,0.10,392.0071,392007.1429,58808.9152,54.8534,54853.3863,1000,2623,0,1.0000,45.1917,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1009,200,100,0,0.20,0.70,0.10,510.3317,510331.7143,76566.8337,231.2582,231258.2156,5000,5318,1717,1.0000,238.3281,ms and sec explicitly named
I-COA,Scenario_2000,2000,1008,200,100,0,0.20,0.70,0.10,919.1229,919122.8571,137875.2750,144.0047,144004.6935,2000,4633,0,1.0000,137.1132,ms and sec explicitly named
DBDE,Scenario_1000,1000,1010,200,100,0,0.20,0.70,0.10,618.4671,618467.1429,92778.8143,67.9995,67999.5054,1000,1660,0,1.0000,35.9301,ms and sec explicitly named
DWOA,Scenario_2000,2000,1000,200,100,0,0.20,0.70,0.10,699.8614,699861.4286,104987.4029,108.9619,108961.9052,2000,3822,1907,1.0000,100.9415,ms and sec explicitly named
DBDE,Scenario_2000,2000,1028,200,100,0,0.20,0.70,0.10,1028.5957,1028595.7143,154299.3947,116.2586,116258.6102,2000,3941,2597,1.0000,78.7235,ms and sec explicitly named
I-COA,Scenario_1000,1000,1012,200,100,0,0.20,0.70,0.10,509.3714,509371.4286,76412.1444,64.4377,64437.7081,1000,2049,1391,1.0000,63.5004,ms and sec explicitly named
DWOA,Scenario_1000,1000,1003,200,100,0,0.20,0.70,0.10,484.8543,484854.2857,72736.1034,55.5516,55551.6443,1000,1769,174,1.0000,45.4233,ms and sec explicitly named
GO,Scenario_2000,2000,1005,200,100,0,0.20,0.70,0.10,921.9100,921910.0000,138293.1222,133.1607,133160.7168,2000,6994,1701,1.0000,125.0494,ms and sec explicitly named
DBDE,Scenario_1000,1000,1011,200,100,0,0.20,0.70,0.10,722.9171,722917.1429,108445.9692,73.4599,73459.8881,1000,1469,0,1.0000,35.0084,ms and sec explicitly named
GO,Scenario_1000,1000,1010,200,100,0,0.20,0.70,0.10,284.1503,284150.3175,42629.1282,57.1471,57147.0721,1000,2789,0,1.0000,55.6995,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1008,200,100,0,0.20,0.70,0.10,205.9908,205990.7692,30909.3665,91.8787,91878.7259,2000,1932,723,1.0000,94.9032,ms and sec explicitly named
DGWO,Scenario_2000,2000,1017,200,100,0,0.20,0.70,0.10,590.6671,590667.1429,88608.8852,103.7110,103710.9602,2000,3922,1340,1.0000,94.6947,ms and sec explicitly named
DQN,Scenario_100,100,1017,0,0,200,0.20,0.70,0.10,32.0457,32045.7143,4810.8879,4.4784,4478.4446,100,10888,3764,1.0000,8.2431,ms and sec explicitly named
DGWO,Scenario_5000,5000,1008,200,100,0,0.20,0.70,0.10,2030.4571,2030457.1429,304580.1242,303.2006,303200.6389,5000,11130,0,1.0000,274.7071,ms and sec explicitly named
DWOA,Scenario_1000,1000,1028,200,100,0,0.20,0.70,0.10,466.8014,466801.4286,70028.2831,55.2711,55271.0665,1000,2551,3453,1.0000,44.5967,ms and sec explicitly named
I-COA,Scenario_1000,1000,1013,200,100,0,0.20,0.70,0.10,458.2471,458247.1429,68743.7410,61.9808,61980.7832,1000,1908,345,1.0000,60.6629,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1000,200,100,0,0.20,0.70,0.10,519.1491,519149.1429,77888.7554,231.2960,231296.0088,5000,5047,0,1.0000,234.8420,ms and sec explicitly named
DBDE,Scenario_1000,1000,1012,200,100,0,0.20,0.70,0.10,678.5114,678511.4286,101784.2577,74.5524,74552.4301,1000,1479,0,1.0000,34.5943,ms and sec explicitly named
DQN,Scenario_100,100,1008,0,0,200,0.20,0.70,0.10,23.7792,23779.2308,3569.9701,4.1149,4114.9415,100,10912,0,1.0000,6.5510,ms and sec explicitly named
DWOA,Scenario_1000,1000,1004,200,100,0,0.20,0.70,0.10,392.3700,392370.0000,58864.8112,50.9849,50984.9447,1000,2377,0,1.0000,45.1147,ms and sec explicitly named
DWOA,Scenario_2000,2000,1029,200,100,0,0.20,0.70,0.10,743.7871,743787.1429,111576.8169,111.5817,111581.6993,2000,3760,0,1.0000,101.9268,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1009,200,100,0,0.20,0.70,0.10,212.1212,212121.1538,31824.7067,91.8146,91814.5678,2000,1536,0,1.0000,97.1916,ms and sec explicitly named
I-COA,Scenario_2000,2000,1009,200,100,0,0.20,0.70,0.10,1099.0986,1099098.5714,164873.6323,146.8909,146890.9269,2000,3797,754,1.0000,138.6887,ms and sec explicitly named
DWOA,Scenario_2000,2000,1001,200,100,0,0.20,0.70,0.10,819.1871,819187.1429,122886.7036,114.2281,114228.1491,2000,3827,824,1.0000,99.7701,ms and sec explicitly named
GO,Scenario_2000,2000,1016,200,100,0,0.20,0.70,0.10,790.4457,790445.7143,118574.4008,121.8978,121897.7935,2000,7117,0,1.0000,119.5351,ms and sec explicitly named
DWOA,Scenario_1000,1000,1029,200,100,0,0.20,0.70,0.10,495.9600,495960.0000,74402.3485,57.0432,57043.1739,1000,1785,123,1.0000,44.4351,ms and sec explicitly named
DBDE,Scenario_1000,1000,1013,200,100,0,0.20,0.70,0.10,574.1543,574154.2857,86130.3749,68.4603,68460.2793,1000,1433,6756,1.0000,34.7064,ms and sec explicitly named
DBDE,Scenario_2000,2000,1029,200,100,0,0.20,0.70,0.10,812.1500,812150.0000,121831.3078,114.3619,114361.8923,2000,4222,2953,1.0000,80.5950,ms and sec explicitly named
DBDE,Scenario_5000,5000,1003,200,100,0,0.20,0.70,0.10,1425.5057,1425505.7143,213839.0150,251.4817,251481.7182,5000,8735,519,1.0000,224.8154,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1010,200,100,0,0.20,0.70,0.10,212.2663,212266.2857,31845.3239,92.3838,92383.8223,2000,1694,0,1.0000,96.4969,ms and sec explicitly named
DQN,Scenario_100,100,1027,0,0,200,0.20,0.70,0.10,34.9114,34911.4286,5241.2158,3.7233,3723.3222,100,8987,1306,1.0000,6.7272,ms and sec explicitly named
I-COA,Scenario_1000,1000,1014,200,100,0,0.20,0.70,0.10,381.2700,381270.0000,57195.5660,63.8411,63841.1497,1000,2824,0,1.0000,63.8080,ms and sec explicitly named
GO,Scenario_1000,1000,1011,200,100,0,0.20,0.70,0.10,388.4214,388421.4286,58270.0028,58.8011,58801.0745,1000,3809,1465,1.0000,54.4144,ms and sec explicitly named
DWOA,Scenario_1000,1000,1005,200,100,0,0.20,0.70,0.10,543.5629,543562.8571,81543.8360,57.9451,57945.1175,1000,2272,2451,1.0000,45.0468,ms and sec explicitly named
DBDE,Scenario_1000,1000,1000,200,100,0,0.20,0.70,0.10,816.2314,816231.4286,122444.0132,76.1107,76110.7494,1000,1539,0,1.0000,34.1353,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1010,200,100,0,0.20,0.70,0.10,528.8241,528824.0909,79335.2879,232.2166,232216.5564,5000,5492,743,1.0000,237.1026,ms and sec explicitly named
DBDE,Scenario_1000,1000,1014,200,100,0,0.20,0.70,0.10,672.5386,672538.5714,100889.6086,72.3242,72324.2430,1000,1420,6413,1.0000,35.6484,ms and sec explicitly named
DBDE,Scenario_2000,2000,1000,200,100,0,0.20,0.70,0.10,798.9200,798920.0000,119845.8004,115.8311,115831.0584,2000,3347,0,1.0000,81.2272,ms and sec explicitly named
DGWO,Scenario_2000,2000,1018,200,100,0,0.20,0.70,0.10,814.2657,814265.7143,122148.4199,109.0165,109016.5339,2000,4885,0,1.0000,94.9807,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1011,200,100,0,0.20,0.70,0.10,218.8845,218884.5065,32840.0233,92.6908,92690.7701,2000,1561,0,1.0000,95.8966,ms and sec explicitly named
I-COA,Scenario_1000,1000,1015,200,100,0,0.20,0.70,0.10,369.1782,369178.1818,55382.7352,62.5917,62591.6705,1000,1915,202,1.0000,63.9182,ms and sec explicitly named
GO,Scenario_2000,2000,1006,200,100,0,0.20,0.70,0.10,749.8743,749874.2857,112489.2898,125.2499,125249.9421,2000,6623,0,1.0000,120.8505,ms and sec explicitly named
DBDE,Scenario_1000,1000,1015,200,100,0,0.20,0.70,0.10,609.7986,609798.5714,91478.4136,73.7546,73754.6120,1000,1493,0,1.0000,35.0422,ms and sec explicitly named
I-COA,Scenario_2000,2000,1010,200,100,0,0.20,0.70,0.10,911.3243,911324.2857,136705.1408,139.4655,139465.5369,2000,3813,1036,1.0000,138.9863,ms and sec explicitly named
DBDE,Scenario_1000,1000,1001,200,100,0,0.20,0.70,0.10,504.4029,504402.8571,75667.8342,60.0956,60095.6368,1000,1990,659,1.0000,35.0998,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1001,200,100,0,0.20,0.70,0.10,506.9460,506946.0000,76059.4549,230.4947,230494.7207,5000,4902,0,1.0000,234.7666,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1012,200,100,0,0.20,0.70,0.10,206.5385,206538.4615,30993.8109,91.4416,91441.6259,2000,1569,0,1.0000,94.5950,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1015,200,100,0,0.20,0.70,0.10,1276.9657,1276965.7143,191553.8873,162.8865,162886.5378,2000,660,3147,1.0000,163.6897,ms and sec explicitly named
DGWO,Scenario_5000,5000,1022,200,100,0,0.20,0.70,0.10,1899.3543,1899354.2857,284913.9994,296.9516,296951.5945,5000,10602,0,1.0000,276.1861,ms and sec explicitly named
I-COA,Scenario_2000,2000,1000,200,100,0,0.20,0.70,0.10,998.7743,998774.2857,149822.8446,141.0665,141066.4816,2000,3961,1801,1.0000,139.7829,ms and sec explicitly named
GO,Scenario_1000,1000,1012,200,100,0,0.20,0.70,0.10,370.8229,370822.8571,55629.7322,58.7769,58776.9024,1000,3346,0,1.0000,56.1495,ms and sec explicitly named
DWOA,Scenario_1000,1000,1006,200,100,0,0.20,0.70,0.10,484.0900,484090.0000,72621.0036,55.3903,55390.2774,1000,3598,290,1.0000,46.7029,ms and sec explicitly named
DBDE,Scenario_1000,1000,1016,200,100,0,0.20,0.70,0.10,572.3243,572324.2857,85855.5220,71.5733,71573.3210,1000,1984,1021,1.0000,34.3772,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1024,200,100,0,0.20,0.70,0.10,349.8881,349888.0769,52490.5627,100.3291,100329.1104,2000,1523,0,1.0000,104.6689,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1016,200,100,0,0.20,0.70,0.10,1251.7171,1251717.1429,187765.5842,169.7815,169781.5415,2000,994,4188,1.0000,174.4015,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1013,200,100,0,0.20,0.70,0.10,216.1024,216102.3529,32421.6595,92.8487,92848.6886,2000,1603,0,1.0000,97.0248,ms and sec explicitly named
DBDE,Scenario_1000,1000,1002,200,100,0,0.20,0.70,0.10,443.1614,443161.4286,66481.3993,60.6631,60663.1394,1000,2471,0,1.0000,35.6507,ms and sec explicitly named
GO,Scenario_2000,2000,1017,200,100,0,0.20,0.70,0.10,765.2971,765297.1429,114801.1461,131.3754,131375.3911,2000,6222,0,1.0000,124.6493,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1025,200,100,0,0.20,0.70,0.10,308.4513,308451.2500,46274.9153,98.9713,98971.2767,2000,770,3437,1.0000,100.7546,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1017,200,100,0,0.20,0.70,0.10,1245.8171,1245817.1429,186880.4453,161.9952,161995.2008,2000,529,2341,1.0000,168.1900,ms and sec explicitly named
DGWO,Scenario_2000,2000,1019,200,100,0,0.20,0.70,0.10,577.1529,577152.8571,86581.6889,105.4807,105480.7234,2000,4077,2251,1.0000,96.4058,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1011,200,100,0,0.20,0.70,0.10,508.4513,508451.3122,76284.9286,230.8721,230872.0932,5000,5038,0,1.0000,234.4440,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1026,200,100,0,0.20,0.70,0.10,289.6156,289615.5556,43447.1329,98.9385,98938.4686,2000,841,0,1.0000,102.8157,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1018,200,100,0,0.20,0.70,0.10,1207.3529,1207352.8571,181110.9907,164.0411,164041.1415,2000,597,2396,1.0000,165.1287,ms and sec explicitly named
DQN,Scenario_100,100,1018,0,0,200,0.20,0.70,0.10,37.1657,37165.7143,5580.0496,3.6876,3687.6307,100,10280,0,1.0000,6.0127,ms and sec explicitly named
DBDE,Scenario_1000,1000,1003,200,100,0,0.20,0.70,0.10,589.0643,589064.2857,88367.1125,66.7793,66779.2651,1000,1532,0,1.0000,33.4225,ms and sec explicitly named
GO,Scenario_1000,1000,1018,200,100,0,0.20,0.70,0.10,323.3157,323315.7143,48504.6295,56.4569,56456.8970,1000,3322,0,1.0000,54.0980,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1019,200,100,0,0.20,0.70,0.10,1065.1929,1065192.8571,159786.0629,160.5802,160580.2270,2000,621,2423,1.0000,161.4611,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1027,200,100,0,0.20,0.70,0.10,332.9038,332903.7500,49943.5343,103.0107,103010.6526,2000,786,3120,1.0000,104.7804,ms and sec explicitly named
GO,Scenario_1000,1000,1013,200,100,0,0.20,0.70,0.10,583.9400,583940.0000,87598.9058,64.2420,64241.9520,1000,3946,793,1.0000,52.7296,ms and sec explicitly named
DQN,Scenario_100,100,1009,0,0,200,0.20,0.70,0.10,30.1405,30140.5128,4525.0410,3.3565,3356.4701,100,10231,5599,1.0000,5.8270,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1014,200,100,0,0.20,0.70,0.10,214.5369,214536.9231,32187.9615,91.4857,91485.6591,2000,2472,2570,1.0000,94.6941,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1020,200,100,0,0.20,0.70,0.10,1291.8000,1291800.0000,193777.7903,163.7574,163757.3844,2000,671,0,1.0000,166.3847,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1028,200,100,0,0.20,0.70,0.10,266.5400,266540.0000,39986.0855,97.3704,97370.4445,2000,869,0,1.0000,100.3265,ms and sec explicitly named
DQN,Scenario_100,100,1028,0,0,200,0.20,0.70,0.10,20.0634,20063.4091,3013.5737,3.3356,3335.5555,100,9098,39,1.0000,6.5802,ms and sec explicitly named
DBDE,Scenario_1000,1000,1004,200,100,0,0.20,0.70,0.10,634.2386,634238.5714,95143.2011,72.6257,72625.6819,1000,1662,0,1.0000,35.2595,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1021,200,100,0,0.20,0.70,0.10,1196.3271,1196327.1429,179456.2244,162.6483,162648.2733,2000,531,2244,1.0000,165.2569,ms and sec explicitly named
DGWO,Scenario_5000,5000,1009,200,100,0,0.20,0.70,0.10,1755.1614,1755161.4286,263284.7187,301.2883,301288.3326,5000,11659,0,1.0000,279.3116,ms and sec explicitly named
GO,Scenario_1000,1000,1019,200,100,0,0.20,0.70,0.10,493.2729,493272.8571,73997.7182,62.6212,62621.1595,1000,2214,1899,1.0000,55.2018,ms and sec explicitly named
DTSO-TS,Scenario_2000,2000,1029,200,100,0,0.20,0.70,0.10,253.2654,253265.4286,37993.4757,94.6833,94683.2910,2000,774,3521,1.0000,99.3261,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1015,200,100,0,0.20,0.70,0.10,228.8957,228895.7143,34340.4305,91.8520,91852.0041,2000,1678,0,1.0000,96.4591,ms and sec explicitly named
DGWO,Scenario_2000,2000,1020,200,100,0,0.20,0.70,0.10,635.7200,635720.0000,95368.3383,105.2036,105203.6303,2000,4166,2059,1.0000,94.9494,ms and sec explicitly named
GO,Scenario_1000,1000,1014,200,100,0,0.20,0.70,0.10,396.6043,396604.2857,59496.6169,57.5831,57583.1095,1000,2489,0,1.0000,54.8379,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1022,200,100,0,0.20,0.70,0.10,1140.9143,1140914.2857,171145.4041,160.7923,160792.2928,2000,596,0,1.0000,157.7796,ms and sec explicitly named
GO,Scenario_2000,2000,1007,200,100,0,0.20,0.70,0.10,644.8084,644808.4416,96727.0269,123.9782,123978.2389,2000,8140,0,1.0000,122.5535,ms and sec explicitly named
PSO-SA,Scenario_2000,2000,1023,200,100,0,0.20,0.70,0.10,1320.9571,1320957.1429,198153.8672,159.4593,159459.3443,2000,569,2213,1.0000,164.6691,ms and sec explicitly named
DCOA-TS,Scenario_2000,2000,1000,200,100,0,0.20,0.70,0.10,214.1968,214196.8398,32135.9873,92.5539,92553.8842,2000,1623,0,1.0000,97.7924,ms and sec explicitly named
DBDE,Scenario_5000,5000,1004,200,100,0,0.20,0.70,0.10,1585.1200,1585120.0000,237782.9536,254.7338,254733.7611,5000,9475,1710,1.0000,220.3380,ms and sec explicitly named
DCOA-TS,Scenario_5000,5000,1012,200,100,0,0.20,0.70,0.10,514.2460,514245.9893,77150.6082,231.2861,231286.0907,5000,4931,5966,1.0000,236.8778,ms and sec explicitly named
DBDE,Scenario_1000,1000,1005,200,100,0,0.20,0.70,0.10,523.6514,523651.4286,78554.8065,64.7362,64736.2131,1000,3153,0,1.0000,33.8539,ms and sec explicitly named
GO,Scenario_1000,1000,1020,200,100,0,0.20,0.70,0.10,292.5529,292552.8571,43888.1110,55.2705,55270.4552,1000,2700,0,1.0000,54.1949,ms and sec explicitly named
